code,name,submun,city,province
112300000,DAVAO DEL NORTE,,,
112301000,ASUNCION (SAUG),,,Davo Del Norte
112301004,Binancian,,Asuncion,Davo Del Norte
112301006,Buan,,Asuncion,Davo Del Norte
112301007,Buclad,,Asuncion,Davo Del Norte
112301008,Cabaywa,,Asuncion,Davo Del Norte
112301009,Camansa,,Asuncion,Davo Del Norte
112301010,Camoning,,Asuncion,Davo Del Norte
112301011,Canatan,,Asuncion,Davo Del Norte
112301012,Concepcion,,Asuncion,Davo Del Norte
112301013,Doña Andrea,,Asuncion,Davo Del Norte
112301026,Magatos,,Asuncion,Davo Del Norte
112301028,Napungas,,Asuncion,Davo Del Norte
112301029,New Bantayan,,Asuncion,Davo Del Norte
112301030,New Santiago,,Asuncion,Davo Del Norte
112301031,Pamacaun,,Asuncion,Davo Del Norte
112301032,Cambanogoy (Pob.),,Asuncion,Davo Del Norte
112301034,Sagayen,,Asuncion,Davo Del Norte
112301036,San Vicente,,Asuncion,Davo Del Norte
112301037,Santa Filomena,,Asuncion,Davo Del Norte
112301039,Sonlon,,Asuncion,Davo Del Norte
112301040,New Loon,,Asuncion,Davo Del Norte
112303000,CARMEN,,,Davo Del Norte
112303001,Alejal,,Carmen,Davo Del Norte
112303002,Anibongan,,Carmen,Davo Del Norte
112303003,Asuncion (Cuatro-Cuatro),,Carmen,Davo Del Norte
112303005,Cebulano,,Carmen,Davo Del Norte
112303006,Guadalupe,,Carmen,Davo Del Norte
112303007,Ising (Pob.),,Carmen,Davo Del Norte
112303008,La Paz,,Carmen,Davo Del Norte
112303010,Mabaus,,Carmen,Davo Del Norte
112303011,Mabuhay,,Carmen,Davo Del Norte
112303012,Magsaysay,,Carmen,Davo Del Norte
112303014,Mangalcal,,Carmen,Davo Del Norte
112303015,Minda,,Carmen,Davo Del Norte
112303016,New Camiling,,Carmen,Davo Del Norte
112303018,San Isidro,,Carmen,Davo Del Norte
112303019,Santo Niño,,Carmen,Davo Del Norte
112303020,Tibulao,,Carmen,Davo Del Norte
112303021,Tubod,,Carmen,Davo Del Norte
112303022,Tuganay,,Carmen,Davo Del Norte
112303023,Salvacion,,Carmen,Davo Del Norte
112303024,Taba,,Carmen,Davo Del Norte
112305000,KAPALONG,,,Davo Del Norte
